manufacturer,unit_model,model_type,unit_serial_number,gps_datetime,gps_latitude,gps_longitude,local_date,daily_actual_work_value
KOMATSU,PC200,8M0,C12824,2018-01-21T17:12:55+07:00,-2.445166,109.967433,2016-10-05,32.0
KOMATSU,PC200,8M0,C12823,2019-01-10T01:28:29+07:00,-6.990633,108.649233,2019-01-09,743.0
KOMATSU,PC200,8M0,C12822,2019-01-10T01:26:00+07:00,-2.8914,119.1802,2019-01-09,454.0
KOMATSU,PC200,8M0,C12821,2019-01-10T01:48:29+07:00,0.700533,123.038466,2019-01-09,0.0
KOMATSU,PC200,8M0,C12820,2019-01-10T01:10:29+07:00,-7.043533,107.8,2019-01-09,315.0
KOMATSU,PC200,8M0,C12819,2018-10-28T10:29:34+07:00,0.473966,119.977333,2018-10-27,0.0
KOMATSU,PC200,8M0,C12813,2019-01-10T01:40:00+07:00,-6.805599,107.940999,2019-01-09,592.0
KOMATSU,PC200,8M0,C12812,2018-03-31T01:29:19+07:00,-7.288932,109.151699,2018-03-30,0.0
KOMATSU,PC200,8M0,C12811,2019-01-10T01:43:00+07:00,-4.191633,121.641466,2019-01-09,378.0
KOMATSU,PC200,8M0,C12810,2019-01-10T01:16:29+07:00,-4.468599,122.377666,2019-01-09,0.0
KOMATSU,PC200,8M0,C12809,2016-09-11T01:23:00+07:00,-7.785599,110.139633,2016-09-10,453.0
KOMATSU,PC200,8M0,C12808,2019-01-10T01:25:28+07:00,-4.866799,139.479433,2019-01-09,0.0
KOMATSU,PC200,8M0,C12807,2018-08-04T01:17:23+07:00,-4.564199,136.861566,2018-08-03,190.0
KOMATSU,PC200,8M0,C12805,2018-12-18T01:05:27+07:00,-6.785866,107.987766,2018-12-17,187.0
KOMATSU,PC200,8M0,C12804,2018-05-08T01:47:20+07:00,-3.460033,114.7819,2018-05-07,0.0
KOMATSU,PC200,8M0,C12800,2019-01-10T01:08:00+07:00,-6.271833,106.9939,2019-01-09,16.0
KOMATSU,PC200,8M0,C12799,2019-01-10T01:39:00+07:00,-6.792566,107.950599,2019-01-09,0.0
KOMATSU,PC200,8M0,C12798,2019-01-10T01:39:28+07:00,-7.303333,108.160999,2019-01-09,0.0
KOMATSU,PC200,8M0,C12797,2019-01-10T01:28:00+07:00,-6.849766,106.7707,2019-01-09,338.0
KOMATSU,PC200,8M0,C12796,2019-01-10T01:19:21+07:00,-7.289733,112.706133,2019-01-09,0.0
KOMATSU,PC200,8M0,C12795,2017-11-01T12:07:37+09:00,-1.171533,133.884167,2017-10-23,212.0
KOMATSU,PC200,8M0,C12793,2019-01-09T01:17:28+07:00,-3.707967,119.629033,2019-01-08,0.0
KOMATSU,PC200,8M0,C12792,2019-01-10T01:35:28+07:00,-7.582632,107.927967,2019-01-09,358.0
KOMATSU,PC200,8M0,C12782,2019-01-09T01:25:28+07:00,-6.618232,107.947266,2019-01-08,0.0
KOMATSU,PC200,8M0,C12781,2016-08-27T01:41:50+07:00,-4.096633,136.426233,2016-08-26,387.0
KOMATSU,PC200,8M0,C12779,2017-08-13T12:27:04+07:00,-1.381799,122.345266,2017-08-12,354.0
KOMATSU,PC200,8M0,C12772,2018-03-10T23:40:38+07:00,-7.2971,108.1613,2018-03-10,942.0
KOMATSU,PC200,8M0,C12771,2019-01-10T01:45:29+07:00,0.7271,115.840033,2019-01-09,0.0
KOMATSU,PC200,8M0,C12770,2019-01-10T01:05:00+07:00,-5.716067,132.7171,2019-01-09,277.0
KOMATSU,PC200,8M0,C12748,2019-01-05T01:30:27+07:00,-6.244099,106.562266,2019-01-04,0.0
KOMATSU,PC200,8M0,C12747,2019-01-10T01:09:24+07:00,-3.460599,114.781933,2019-01-09,6.0
KOMATSU,PC200,8M0,C12741,2018-11-20T01:27:46+07:00,-1.840366,111.1551,2019-01-09,0.0
KOMATSU,PC200,8M0,C12740,2019-01-10T01:46:28+07:00,-1.880066,111.210833,2019-01-09,0.0
KOMATSU,PC200,8M0,C12739,2019-01-10T01:34:29+07:00,4.643567,96.701332,2019-01-09,172.0
