manufacturer,unit_model,model_type,unit_serial_number,gps_datetime,gps_latitude,gps_longitude,comm_setting_group,comm_setting_group_id,comm_setting_group_td,db_group,db_group_id,db_group_country,customer,customer_id,customer_code,customer_country
KOMATSU,WA600,3,52694,2019-01-10T01:05:00+07:00,-6.717566,108.391366,Wh Indonesia 7,W0031,7.0,PTUT,PTUT,ID,INDOCEMENT TUNGGAL PRAKA,370183.0,10489,ID
KOMATSU,WA600,3,52688,2017-09-08T05:54:00+07:00,-0.403266,114.867133,Wh Indonesia 7,W0031,7.0,PTUT,PTUT,ID,MARUBENI INDONESIA,356617.0,12223,ID
KOMATSU,WA600,3,52687,2018-01-20T23:14:00+07:00,-0.403266,114.867166,Wh Indonesia 7,W0031,7.0,PTUT,PTUT,ID,MARUBENI INDONESIA,356617.0,12223,ID
KOMATSU,WA600,3,52685,2019-01-10T00:59:00+07:00,-0.4033,114.867199,Wh Indonesia 7,W0031,7.0,PTUT,PTUT,ID,MARUBENI INDONESIA,356617.0,12223,ID
KOMATSU,WA600,3,52684,2018-12-19T06:34:00+07:00,-0.401067,114.863333,Wh Indonesia 7,W0031,7.0,PTUT,PTUT,ID,ASMIN KOALINDO TUHUP,304912.0,25143,ID
KOMATSU,WA500,6R,60238,2019-01-10T01:31:00+07:00,-0.303733,117.047533,Wh Indonesia 7,W0031,7.0,PTUT,PTUT,ID,BANDANG MINING COAL,305513.0,26900,ID
KOMATSU,WA500,6R,60233,2019-01-10T01:39:00+07:00,-3.562899,115.638866,Wh Indonesia 7,W0031,7.0,PTUT,PTUT,ID,SEMESTA TRANSPORTASI LIMBAH,484000.0,35022,ID
KOMATSU,WA500,6R,60230,2019-01-10T01:06:00+07:00,-3.598633,115.630732,Wh Indonesia 7,W0031,7.0,PTUT,PTUT,ID,SEMESTA TRANSPORTASI LIMBAH,484000.0,35022,ID
KOMATSU,WA500,6R,60229,2019-01-10T01:10:00+07:00,-0.608099,117.282999,Wh Indonesia 7,W0031,7.0,PTUT,PTUT,ID,RIMBA PERKASA UTAMA,448111.0,13797,ID
KOMATSU,WA500,6R,60228,2019-01-10T02:13:00+08:00,-0.989033,114.3895,Wh Indonesia 7,W0031,7.0,PTUT,PTUT,ID,PAMAPERSADA NUSANTARA,300710.0,10611,ID
KOMATSU,WA500,6R,60221,2019-01-10T01:05:27+07:00,-3.7513,115.468232,Wh Indonesia 7,W0031,7.0,PTUT,PTUT,ID,MITRA JASA SEBAMBAN,483999.0,37465,ID
KOMATSU,WA500,6R,60220,2019-01-10T02:18:00+08:00,-1.218066,114.803499,Wh Indonesia 7,W0031,7.0,PTUT,PTUT,ID,PAMAPERSADA NUSANTARA,300710.0,10611,ID
KOMATSU,WA500,6R,60219,2018-11-12T02:48:26+08:00,-1.2169,114.806332,Cr Indonesia 7,W0024,7.0,PTUT,PTUT,ID,PAMAPERSADA NUSANTARA,300710.0,10611,ID
KOMATSU,WA500,6R,60218,2019-01-10T01:07:28+07:00,-3.310599,116.029933,Cr Indonesia 7,W0024,7.0,PTUT,PTUT,ID,DUA SAMUDERA PERKASA,360817.0,24297,ID
KOMATSU,WA500,6R,60214,2019-01-10T02:00:00+08:00,-3.817999,115.308366,Wh Indonesia 7,W0031,7.0,PTUT,PTUT,ID,PAMAPERSADA NUSANTARA,300710.0,10611,ID
KOMATSU,WA500,6R,60213,2019-01-10T02:20:00+08:00,-1.212733,114.801667,Wh Indonesia 7,W0031,7.0,PTUT,PTUT,ID,PAMAPERSADA NUSANTARA,300710.0,10611,ID
KOMATSU,WA500,6R,60210,2019-01-10T00:53:00+07:00,-3.751266,115.468232,Wh Indonesia 7,W0031,7.0,PTUT,PTUT,ID,MITRA JASA SEBAMBAN,483999.0,37465,ID
KOMATSU,WA500,6R,60209,2019-01-07T18:37:00+07:00,-3.310066,116.030299,Wh Indonesia 7,W0031,7.0,PTUT,PTUT,ID,DUA SAMUDERA PERKASA,360817.0,24297,ID
KOMATSU,WA500,6R,60204,2019-01-10T01:38:00+07:00,-1.124766,114.496366,Wh Indonesia 7,W0031,7.0,PTUT,PTUT,ID,SATRIA ALAM MANUNGGAL,312427.0,26093,ID
KOMATSU,WA500,6R,60146,2019-01-10T01:39:00+07:00,-3.736166,115.655866,Wh Indonesia 7,W0031,7.0,PTUT,PTUT,ID,MITRA JASA SEBAMBAN UTAM,448618.0,35324,ID
KOMATSU,WA500,6R,60145,2019-01-10T01:44:00+07:00,-3.736766,115.655999,Wh Indonesia 7,W0031,7.0,PTUT,PTUT,ID,MITRA JASA SEBAMBAN UTAM,448618.0,35324,ID
KOMATSU,WA500,6R,60144,2019-01-10T01:04:00+07:00,2.215132,117.6039,Wh Indonesia 7,W0031,7.0,PTUT,PTUT,ID,MAJAU INTI JAYA,306652.0,12066,ID
