manufacturer,unit_model,model_type,unit_serial_number,gps_datetime,gps_latitude,gps_longitude,abnormality_code,abnormality_name,local_datetime,abnormality_smr,abnomrmality_onmonitor,abnormality_onmonitor_id,abnormality_action_level,abnormality_type,abnormality_type_id
KOMATSU,PC200,8M0,C12536,2019-01-10T01:21:00+07:00,0.084799,117.115467,B@BCZK,COOLANT + DECREASE IN QUANTITY,2019-01-09T05:12:47+07:00,350586.0,Yes,1.0,L01,Mechanical,1.0
KOMATSU,PC200,8M0,C12533,2019-01-10T01:19:00+07:00,-1.949033,101.880399,DY2CKA,WIND WASHER MOTOR + OPEN CIRCUIT,2019-01-09T19:46:07+07:00,1310392.0,No,0.0,L00,Electrical,0.0
KOMATSU,PC200,8M0,C12533,2019-01-10T01:19:00+07:00,-1.949033,101.880399,B@BCZK,COOLANT + DECREASE IN QUANTITY,2019-01-09T19:46:32+07:00,1310392.0,Yes,1.0,L01,Mechanical,1.0
KOMATSU,PC200,8M0,C12532,2019-01-10T01:42:28+07:00,-3.141933,119.888567,DY2CKA,WIND WASHER MOTOR + OPEN CIRCUIT,2019-01-09T06:53:34+07:00,907791.0,No,0.0,L00,Electrical,0.0
KOMATSU,PC200,8M0,C12529,2019-01-10T01:35:30+07:00,-0.609233,117.214233,DY2DKB,WIPER MOTOR (CLOCKWISE) + SHORT CIRCUIT,2019-01-09T09:35:18+07:00,930140.0,No,0.0,L00,Electrical,0.0
KOMATSU,PC200,8M0,C12528,2019-01-10T02:39:00+08:00,-2.036599,111.864733,CA559,RAIL PRESS LOW ERROR,2019-01-09T09:30:25+07:00,880915.0,Yes,1.0,L01,Electrical,0.0
KOMATSU,PC200,8M0,C12528,2019-01-10T02:39:00+08:00,-2.036599,111.864733,CA553,RAIL PRESS HIGH ERROR,2019-01-09T09:29:35+07:00,880914.0,Yes,1.0,L01,Electrical,0.0
KOMATSU,PC200,8M0,C12528,2019-01-10T02:39:00+08:00,-2.036599,111.864733,CA449,RAIL PRESS VERY HIGH ERROR,2019-01-09T09:29:27+07:00,880914.0,Yes,1.0,L03,Electrical,0.0
KOMATSU,PC200,8M0,C12528,2019-01-10T02:39:00+08:00,-2.036599,111.864733,CA428,WATER IN FUEL SENSOR HIGH ERROR,2019-01-09T09:28:51+07:00,880913.0,Yes,1.0,L01,Electrical,0.0
KOMATSU,PC200,8M0,C12527,2019-01-10T01:48:30+07:00,-6.423733,140.306866,B@BCZK,COOLANT + DECREASE IN QUANTITY,2019-01-09T06:26:41+07:00,268413.0,Yes,1.0,L01,Mechanical,1.0
KOMATSU,PC200,8M0,C12522,2019-01-10T01:40:29+07:00,-2.0196,111.759133,CA325,INJ #6(L#6) OPEN/SHORT ERROR,2019-01-09T16:34:25+07:00,455792.0,Yes,1.0,L03,Electrical,0.0
KOMATSU,PC200,8M0,C12518,2019-01-10T01:28:30+07:00,-3.0826,104.952733,DY2CKA,WIND WASHER MOTOR + OPEN CIRCUIT,2019-01-09T07:31:32+07:00,693014.0,No,0.0,L00,Electrical,0.0
