manufacturer,unit_model,model_type,unit_serial_number,gps_datetime,gps_latitude,gps_longitude,local_date,daily_smr_value,daily_smr_map
KOMATSU,PC200,8M0,C19616,2019-01-10T01:41:00+07:00,-1.587266,113.366199,2019-01-09,6.0,000000000000000000000000
KOMATSU,PC200,8M0,C19615,2019-01-10T02:47:34+08:00,-1.744799,113.893766,2019-01-09,5.0,000000000000000000000000
KOMATSU,PC200,8M0,C19609,2018-12-10T07:32:17+08:00,-1.744833,113.893666,2018-12-09,1.0,000000000000000000000000
KOMATSU,PC200,8M0,C19608,2019-01-10T01:04:00+07:00,-1.285333,113.5513,2019-01-09,704.0,000000000200007fffffe000
KOMATSU,PC200,8M0,C19600,2019-01-10T02:00:00+08:00,-1.836099,113.857066,2019-01-08,183.0,000000000000000000000000
KOMATSU,PC200,8M0,C19594,2018-12-27T02:30:33+08:00,-0.740132,117.0789,2018-12-26,485.0,000000004ff7fe8ff3c00000
KOMATSU,PC200,8M0,C19592,2019-01-10T01:04:34+07:00,-6.1013,106.546199,2019-01-09,685.0,0000001be1ffffffff81f000
KOMATSU,PC200,8M0,C19591,2019-01-10T01:03:00+07:00,-6.806933,111.996166,2019-01-09,317.0,000007800ff807c018000000
KOMATSU,PC200,8M0,C19543,2018-11-13T00:04:17+07:00,0.813599,122.9921,2018-11-10,62.0,000000000000000000000000
KOMATSU,PC200,8M0,C19542,2019-01-10T01:12:35+07:00,-6.6202,107.3777,2019-01-09,717.0,0000001bfffe0ffff807ff80
KOMATSU,PC200,8M0,C19541,2018-06-10T01:44:28+07:00,0.8694,122.652666,2018-06-09,267.0,0000000000001fff3f000000
KOMATSU,PC200,8M0,C19540,2019-01-09T01:16:35+07:00,-0.554199,110.279867,2019-01-08,360.0,0000000ffff1000706010000
KOMATSU,PC200,8M0,C19539,2019-01-10T01:12:35+07:00,-0.9352,113.454899,2019-01-08,143.0,000000000000000000000000
KOMATSU,PC200,8M0,C19538,2019-01-10T01:07:00+07:00,-1.461799,102.693366,2019-01-09,790.0,00000000ffff0fffffe07fff
KOMATSU,PC200,8M0,C19537,2019-01-10T01:26:35+07:00,0.961533,109.481099,2019-01-09,50.0,000000003800000000000000
KOMATSU,PC200,8M0,C19525,2019-01-10T01:09:35+07:00,-6.623599,107.3788,2019-01-09,870.0,fe000007ffff0ffff003ffff
KOMATSU,PC200,8M0,C19524,2019-01-10T02:22:35+08:00,-2.121633,111.334666,2019-01-09,0.0,000000005f7e780000000000
KOMATSU,PC200,8M0,C19523,2019-01-10T01:23:00+07:00,-1.060132,110.362399,2019-01-07,33.0,000000000000000000000000
KOMATSU,PC200,8M0,C19522,2019-01-10T01:17:35+07:00,0.7584,110.649867,2019-01-09,334.0,000000000fff0ff200000000
KOMATSU,PC200,8M0,C19519,2019-01-10T02:24:35+08:00,-2.652733,112.177466,2019-01-09,838.0,00000207f03f7fe750000000
KOMATSU,PC200,8M0,C19518,2019-01-09T10:15:06+08:00,-2.679566,112.169633,2019-01-08,690.0,00000000bf7fffffffe00100
KOMATSU,PC200,8M0,C19517,2018-12-22T02:05:34+08:00,-2.682433,112.173633,2018-12-21,270.0,00000000001ffd82cbc00000
KOMATSU,PC200,8M0,C19516,2019-01-10T02:30:35+08:00,-2.103466,111.236033,2019-01-09,638.0,0000000002f3fe0000000000
KOMATSU,PC200,8M0,C19510,2019-01-10T01:31:35+07:00,0.847133,101.2826,2019-01-09,412.0,0000000039fe1fff00000000
KOMATSU,PC200,8M0,C19509,2019-01-10T01:30:35+07:00,0.876366,101.238166,2019-01-09,761.0,00000000ffff807ffe07f800
KOMATSU,PC200,8M0,C19508,2019-01-10T01:52:34+07:00,-3.925299,116.084899,2018-12-20,163.0,000000000000000000000000
KOMATSU,PC200,8M0,C19507,2019-01-10T02:27:00+08:00,-1.355499,119.437999,2019-01-09,427.0,00000001fff83f8000000000
KOMATSU,PC200,8M0,C19504,2019-01-10T01:38:34+07:00,-3.366432,114.806366,2019-01-09,73.0,00000000000030c000000000
KOMATSU,PC200,8M0,C19503,2019-01-10T01:37:35+07:00,-4.787967,119.629633,2019-01-09,713.0,0000001ffffffffff1f80000
KOMATSU,PC200,8M0,C19502,2019-01-10T01:27:35+07:00,-4.534167,103.288099,2019-01-09,344.0,0000000000000fffffe00000
KOMATSU,PC200,8M0,C19501,2019-01-10T01:12:35+07:00,-6.9745,110.464333,2019-01-09,495.0,000000011bfe0ff9fff00000
KOMATSU,PC200,8M0,C19500,2019-01-10T01:39:35+07:00,-0.088832,109.996966,2019-01-09,495.0,0000000ffffc0fffe0000000
KOMATSU,PC200,8M0,C19497,2019-01-10T01:33:35+07:00,-2.200433,110.814899,2019-01-05,138.0,000000000000000000000000
KOMATSU,PC200,8M0,C19496,2019-01-10T03:39:35+09:00,0.460266,127.923232,2019-01-09,502.0,000003fffe07fffc00000000
KOMATSU,PC200,8M0,C19495,2019-01-10T01:38:35+07:00,-5.908666,106.0158,2019-01-09,445.0,00000001fff80ffff0000000
KOMATSU,PC200,8M0,C19494,2019-01-10T01:38:35+07:00,-0.9863,117.136099,2019-01-09,315.0,0000001fc7c01f0000000000
